word	N::finn
brave	2
hysteria	-3
agonised	-3
treason	-3
despondent	-3
indoctrinating	-2
postponing	-1
apprehensive	-2
chance	2
indignation	-2
attraction	2
thanks	2
agonises	-3
fuck	-2
advanced	1
joke	2
fraudster	-4
screaming	-2
tricked	-2
asset	2
intimidated	-2
troubled	-2
consolable	2
hindrance	-2
violates	-2
unloved	-2
attracting	2
intimidates	-2
cleared	1
infatuation	2
snubbing	-2
paradox	-1
troubles	-2
salient	1
monopolize	-2
ashame	-2
violated	-2
defender	2
angers	-3
attacks	-1
insignificant	-2
lurking	-1
promotes	1
enemies	-2
clouded	-1
fuckhead	-4
spiteful	-2
piss	-4
warned	-2
ignorance	-2
fraudulent	-4
daring	2
promoted	1
smiled	2
totalitarian	-2
grey	-1
longing	-1
unappreciated	-2
axed	-1
tragic	-2
sophisticated	2
delighting	3
dissapoint	-1
demanded	-1
ignore	-1
ridiculous	-3
pity	-2
shitty	-4
sobering	1
absolved	2
illegal	-2
confused	-2
prevents	-1
suffer	-2
astounded	3
prospects	1
cutting	-1
enjoy	2
join	1
mistaking	-2
smiles	2
broke	-1
strongest	2
absolves	2
irrational	-1
regretting	-2
suspend	-1
treasures	2
appalling	-2
alarmed	-2
prays	1
drop	-1
inquisition	-2
infected	-2
spammer	-3
restores	1
trapped	-2
monopolizing	-2
strengthening	2
pessimistic	-2
deriding	-2
affectionate	3
delighted	3
aggravate	-2
guilt	-3
rants	-3
retained	-1
moping	-1
farce	-1
spaz	-2
tops	2
direful	-3
unsupported	-2
luck	3
sluggish	-2
criticism	-2
bereaved	-2
fan	3
fumble	-1
timid	-2
fascinate	3
frenzy	-3
muck	-2
fag	-3
weary	-2
leak	-1
discounted	-1
fad	-2
dreading	-2
active	1
spam	-2
restored	1
misunderstood	-2
cynicism	-2
bereaves	-2
oversimplifies	-2
applauded	2
justice	2
hacked	-1
elegantly	2
disbelieve	-2
short-sightedness	-2
disturb	-2
discord	-2
generous	2
brightness	1
cheats	-3
pretending	-1
deceiving	-3
treasure	2
oversimplified	-2
dehumanize	-2
admonish	-2
glee	3
classic	1
reached	1
lmao	4
dismayed	-2
obsolete	-2
disruptions	-2
frisky	2
gray	-1
torn	-2
wicked	-2
reaches	1
bullying	-2
sprightly	2
obscene	-2
obnoxious	-3
advantage	2
amusement	3
enterprising	1
helping	2
shameful	-2
hysterics	-3
peace	2
prominent	2
elated	3
resentful	-2
duped	-2
suspicious	-2
impressed	3
attacking	-1
asshole	-4
puzzled	-2
rant	-3
unlovable	-2
absentees	-1
insecure	-2
disgusted	-3
absolving	2
help	2
errors	-2
sewer	-2
empty	-1
pressured	-2
horseshit	-3
support	2
robs	-2
obstinate	-2
exploits	-2
perplexed	-2
offended	-2
resign	-1
rob	-2
mischief	-1
classy	3
offender	-2
doubtful	-1
steals	-2
incompetence	-2
inconvenient	-2
joy	3
bored	-2
lugubrious	-2
pesky	-2
dragged	-1
acrimonious	-3
stereotype	-2
destroyed	-3
clarifies	2
triumphant	4
protests	-2
helpless	-2
unfulfilled	-2
rape	-4
faith	1
screwed up	-3
boosting	1
ethical	2
hell	-4
incapable	-2
irresolute	-2
helps	2
intimidating	-2
dire	-3
clears	1
worried	-3
exploited	-2
improvement	2
unclear	-1
shortages	-2
meditative	1
strengthen	2
persecuting	-2
warning	-3
swiftly	2
disappears	-1
passively	-1
envy	-1
debonair	2
crushes	-1
sludge	-2
frowning	-1
mess	-2
lonesome	-2
retreat	-1
panicked	-3
stunned	-2
postpone	-1
focused	2
pray	1
drowns	-2
litigation	-1
penalty	-2
dirt	-2
darkness	-1
hero	2
extends	1
provoking	-1
thorny	-2
saddened	-2
rofl	4
defiant	-1
damage	-3
accusations	-2
unwanted	-2
humiliation	-3
exciting	3
restore	1
crushed	-2
ingenius	-1
dissatisfied	-2
restless	-2
violent	-3
disregarding	-2
blah	-2
greeted	1
perpetrators	-2
hardier	2
disconsolation	-2
proudly	2
prisoner	-2
super	3
unfair	-2
prosperous	3
gorgeous	3
dodgy	-2
enraging	-2
downbeat	-2
demoralized	-2
lonely	-2
rig	-1
problem	-2
riots	-2
cheering	2
paradise	3
regrets	-2
disgraced	-2
tears	-2
anxious	-2
ennui	-2
noob	-2
thoughtless	-2
rash	-2
accidentally	-2
naked	1
brightest	2
tender	2
oversell	-2
impresses	3
embarrassing	-2
scams	-2
deride	-2
enslave	-2
limited	-1
flop	-2
misunderstand	-2
craziest	-2
praising	3
vindicate	2
validated	1
calms	2
strangled	-2
beatific	3
yeah	1
hide	-1
pensive	-1
comprehensive	2
dejects	-2
validates	1
ineffective	-2
cheat	-3
terribly	-3
chaos	-2
futile	2
laugh	1
hysterical	-3
terrible	-3
rotfl	4
favor	2
deferring	-1
admire	3
geniuses	1
oppressed	-2
fails	-2
fatiguing	-2
lively	2
suave	2
eviction	-1
cool stuff	3
exposed	-1
damned	-4
strike	-1
offal	-2
adventure	2
sore	-1
significant	1
absorbed	1
annoy	-2
dubious	-2
exposes	-1
apologise	-1
solidarity	2
refreshingly	1
uncredited	-1
ranters	-3
delayed	-1
made-up	-1
trust	1
rotflmfao	4
